id,stackoverflowid,githubid,twitterid,ghdup,twdup
1,-1,1393171,179698068,f,f
2,1,1522517,5637652,f,f
3,9,123334,778112,f,f
4,13,42980,15359338,f,f
5,17,279540,13967832,f,f
6,29,957730,6741222,f,f
7,34,206480,15930954,f,f
8,35,210325,15344421,f,f
9,37,1714627,78208161,f,f
10,39,720856,5816772,f,f
11,44,230441,56738270,f,f
12,49,2861690,14797016,f,f
13,51,1366941,1528051,f,f
14,52,371773,14259737,f,f
15,55,164890,13974542,f,f
16,58,157303,14686110,f,f
17,60,409103,11680672,f,f
18,61,24411,52217877,f,f
19,64,422912,1713041,f,f
20,67,141929,683213,f,f
21,71,991466,25597100,f,f
22,72,83341,2052441,f,f
23,77,135476,14233053,f,f
24,78,110458,12610592,f,f
25,79,97944,15341749,f,f
26,86,30123,14678290,f,f
27,91,104127,14853940,f,f
28,101,1659,2313471,f,f
29,103,739122,15753680,f,f
30,105,595337,16831584,f,f
31,108,230338,160416906,f,f
32,111,70801,14860855,f,f
33,113,18193,14206068,f,f
34,122,150632,14149969,f,f
35,133,314871,14656971,f,f
36,135,794620,14107617,f,f
37,137,1161161,19630403,f,f
38,144,1339,8451772,f,f
39,147,246116,847931,f,f
40,154,2412,515796911,f,f
41,156,39916,5344992,f,f
42,161,2161,8821192,f,f
43,166,17595,5403382,f,f
44,171,3585993,14899449,f,f
45,183,60844,297103644,f,f
46,183,1621,9695352,t,f
47,184,307424,15316440,f,f
48,188,23411,14183114,f,f
49,189,22480,12682,f,f
50,196,3170012,90719578,f,f
51,196,159374,90719578,t,f
52,197,533152,409423211,f,f
53,198,70682,360510226,f,f
54,200,44654,14116935,f,f
55,203,1520909,17748069,f,f
56,207,88463,14123211,f,f
57,208,11674,14191172,f,f
58,209,120773,15241704,f,f
59,210,6437,2344541,f,f
60,227,5497977,14907801,f,f
61,247,107733,3241601,f,f
62,253,39366,11020152,f,f
63,260,790821,5738292,f,f
64,264,504532,817193,f,f
65,267,1311683,14843729,f,f
66,274,99512,14406930,f,f
67,319,160936,37093,f,f
68,322,186494,17002255,f,f
69,326,371765,14882052,f,f
70,339,25966,14082200,f,f
71,358,124014,4685731,f,f
72,371,2754325,14889854,f,f
